category,texts
-,ออกอย่างรุนแรง
-,ความน่ากลัว
-,กลิ่นเหม็นจากดาวมรณะ
-,อาคารบังอาจมองไม่เห็น
-,เขย่าขวัญน่ากลัว
-,ทำงานบกพร่องจนทำให้เดือดร้อน
-,ท้อแท้หมดกำลัง
-,อ่อนแอไร้ค่าไร้ควาหมาย
-,เย็นชาไม่สนใคร
-,อพยพหนีน้ำ
-,ความทุกข์ยากลำบาก
-,ล้อเล่นความรู้สึก
-,สลดหนุ่มเตกคลองดับซัดเห็นมัวถ่ายรูปไม่ช่วย
-,เสียชีวิตสลดเจ็บสาหัส
-,น้ำป่าไหลท่วมฉับพลัน
-,จมน้ำตายต่อหน้า
-,สลดแม่ยักษ์ทิ้งลูกในไส้บนซากกองขยะ
-,ขี้กลัวโดนผีหลอก
-,ฉันตื่นสายพลาดไปไม่ทันรถ
-,เกลียดหน้ามึงอ่ะ
-,ของไม่ตรงตามสั่งแม่งเสียความรู้สึกควย
-,ไม่ใครจดจำ
-,งานท่วมหัวทำตัวเหมือนว่าง
-,แปลกหน้าไม่ใครรู้จัก
-,โดนเทมันทำให้พัง
-,ยาโคตรขมไม่อร่อยรสชาติแย่
-,ตอบยากจังว่ะตายหรือไง
-,ผีเหี้ยไรเเม่งกูหมั่นใส้
-,ประกาศผิด
-,เดี๋ยวนี้ไม่ภาพเหมือนก่อนเห็นผิดบ่อยก
-,เจอแบบนี้เสียความรู้สึก
-,งานระดับนี้ผิดผลาดไง
-,หมดความขลังของออสการ์
-,ไม่รางวัลยังไม่อายขนาดนี้
-,คอยเอาก้อนหินเขวี้ยงหเห่าตามทาง
-,มันนินทา
-,ผีห่าหมูหหาเรื่องนินทาอยู่
-,อยู่เมืองดัดจริตเนี่ยมันอยู่ยากจริงเนอะ
-,โลกร้อนเกิดจากการตัดไม้ทำลายป่า
-,ปากทำพูดไม่รู้เรื่องอะไร
-,เดินลำพัง
-,ไม่ระวังจึงเกิดอุบัติเหตุ
-,เจ็บเกินพอหรือยังเมื่อไรพอซะทีต่างต่างรู้ว่าทำไม่
-,จากหรือจากตายสุดท้ายจากไป
-,เหลือความทรงจำรอลืมเลือน
-,พูดจาหมาไม่แดก
-,มองโลกในแง่ร้าย
-,โกรธง่ายฉุนเฉียวบ่อย
-,สงครามความสูญเสีย
-,รู้ตัวว่าไม่เหมือนใคร
-,แอบอ้างหลอกลวง
-,ตัดไม้ทำลายป่า
-,เบื่อโรคอ้วน
-,ล้มตกบันได
-,พวกระยำ
-,หมกมุ่นในเรื่องเพศกเกินไป
-,ก่อมลพิษให้แวดล้อม
-,ยัดเยียดข้อกล่าวหา
-,หลบหนีเข้าโดยไม่รับอนุญาต
-,อกหักเพราะบอกเลิก
-,กลัวเสียมันไป
-,ถ้ามันเสียไปกู้กลับคือไม่เหมือนเดิม
-,หมดละมันพังไปหมดละมันไม่เหลืออะไรอีก
-,กูปากชอบด่า
-,มันขาดความการน้ำต่อเพื่อนมนุษย์
-,ยากกว่าหลายเท่า
-,เพราะผิดหวังเยอะ
-,หลอกให้รักจากไป
-,ร้องไห้งอแงไม่ปลอบ
-,อย่างน้อยเพราะทำไม่ได้
-,ข้อพิพาทยังไม่ยุติ
-,คอมมิวนิสต์เผด็จการ
-,ตอกย้ำความเจ็บปวด
-,ขยะสังคมสัส
-,ขัดผลประโยชน์
-,แม่งมั่วซั่วไปหมด
-,เสียสติด้วยความคลั่ง
-,วังเวงน่าสยดสยอง
-,เสแสร้งจอมปลอม
-,สุดท้ายโดนหลอก
-,เบียดเสียดเยียดยัด
-,อันตรายถึงตาย
-,อ่อนเพลียง่าย
-,โดดตบหน้าเฟีย
-,หลบหนีภาษี
-,ก่อกรรมทำเข็ญ
-,กดขี่เรียกค่าไถ่
-,กักขังสงสัย
-,กระชากหน้ากากร้าย
-,คนร้ายหลบหนีความผิด
-,เศรษฐกิจตกต่ำตกงาน
-,ความรู้สึกกูเหี้ยมาก
-,ผิดเองไม่พร้อม
+,ชอบใครก็ชวนมาลองชิมที่คุณทำ
+,ดูแลตัวเองก็มั่นใจในตัวเองมากขึ้นยิ้มบ่อย
+,ไม่ขี้งอนไม่น้อยใจใครแม้แต่เพื่อนสนิท
+,เขียนได้ดีอ่านเพลินมาก
+,อย่าปล่อยให้อดีตทำร้ายปัจจุบัน
+,เธอคงความสุขดีในที่ฉันความสุขเธอ
+,ความพยายามอยู่ที่ไหนความสำเร็จอยู่ที่นั้น
+,ดีช่วยที่กำลังจะตกจากอาคารสูงน่าชื่นชม
+,เจริญเติบโตอย่างแข็งแกร่งและสวยงาม
+,ตอบแทนความหวังดีด้วยการตั้งใจเรียนตั้งใจทำงาน
+,อยากกลับไปรื้อฟื้นความทรงจำดี
+,นับช่วงชีวิตที่ดีที่สุดแม้แค่เพียงเวลาสั้น
+,รักให้ทำปากจู๋ขอหัวใจละดวงจุ้บ
+,สนับสนุนส่งเสริมความสามัคคี
+,น่ารักอ่ะอยากเดินจับมือไปจนแก่
+,แบบโมเม้นที่ความรักรักเราทำอะไรซักอย่างให้เรามั่นใจแบบนี้ได้โคตรปลื้มใจ
+,ไว้เจออีกทีในเวลาที่เหมาะสม
+,จงนับถือตัวเองให้มากพอที่จะรู้ว่าคู่ควรสิ่งที่ดีที่สุด
+,ความท้าทายสิ่งที่ทำให้ชีวิตน่าสนใจแต่การเอาชนะให้ได้สิ่งที่ทำให้ชีวิตความหมาย
+,อนาคตของขึ้นอยู่สิ่งที่ทำในนี้ไม่ใช่พรุ่งนี้
+,อย่าเพิ่งยอมแพ้จุดเริ่มต้นนั้นมักจะยากที่สุดเสมอ
+,สิ่งเดียวที่แน่นอนที่สุดในชีวิตคือความเปลี่ยนแปลง
+,ความรักชนะความรักความสงบสุข
+,ทุกที่ประสบชัยชนะในสิ่งใดที่ทำต้องเต็มใจตั้งใจ
+,ความปรารถนาอันร้อนแรงชัยชนะความสำเร็จ
+,จงแน่วแน่ในการตัดสินใจแต่ให้ยืดหยุ่นการลงมือทำ
+,ความมั่นใจมาจากการไม่กลัวที่จะทำอะไรผิด
+,วิธีให้กำลังใจตัวเองที่ดีที่สุดคือการให้กำลังใจอื่น
+,สิ่งนี้เกิดขึ้นจากแรงบันดาลใจ
+,ไตร่ตรองและมองด้านบวกเข้าไว้
+,การเริ่มต้นทำสิ่งเดิมอีกครั้งอย่างชาญฉลาดกว่าเดิม
+,เสรีภาพบนเสรีประชาธิปไตย
+,สุภาพเรียบร้อย
+,เธอคือทุกอย่างในชีวิต
+,อีกไม่นานเกินรอทุกอย่างจะดีขึ้น
+,อยากให้เธออยู่เคียงข้างฉันอย่างนี้ทุกคืนอย่างนี้ตลอดไป
+,การชำระจิตหรือใจให้ผ่องใสสิ่งสำคัญที่สุดที่พึ่งปรารถนาที่สุดของผู้ปัญญาทั้งหลาย
+,ทำจิตให้สงบจะพบทางออก
+,ลงมือทำอย่างต่อเนื่องเท่านั้นเอง
+,ต้องเชื่อในศักยาภาพของคุณและความพยายามที่
+,เจอที่ใช่และพร้อมฝ่าฟันทุกอย่างไปเรา
+,ทำให้ศรัทธาที่จะรำลึกถึงพระเพื่อดำรงพระศาสนาให้ยืนนานสาธุ
+,สาธุคำสอนที่ตรงและถูกต้องที่สุด
+,พัฒนาตนเองสม่ำเสมอด้วยความไม่ย่อท้อ
+,ขัดขืนต่อสู้เพื่อป้องกันตัวเอง
+,รักอยู่เคียงข้างเสมอ
+,ตอกย้ำความทรงจำดี
+,กลับตัวกลับใจดี
+,เตรียมตัวให้พร้อม
+,เชิดหน้าชูตา
+,สามัคคีหนึ่งเดียว
+,ทำให้ดีกว่าเดิม
+,รักเสมือนพี่น้อง
+,ขอให้ปราถนาที่ตั้งใจไว้ด้วย
+,ความรวมน้ำใจรวมพลัง
+,เดินสายปฎิบัติธรรมไปวัดทำบุญ
+,อยากให้อ่านกำลังใจขึ้น
+,สานต่อความฝันให้จริง
+,สันติภาพสิ่งที่คาดหวัง
+,ดวงใจลุกโชนความหวัง
+,สมหวังทุกประการ
+,พร้อมที่จะเผชิญความจริง
+,สดชื่นใจอากาศดีนี้
+,สัญญาว่ารักเธอเดียว
+,แน่ใจว่าทำได้แน่นอน
+,รีไซเคิลนำกลับมาใช้ใหม่ลดโลกร้อน
+,ช่วยลดโลกร้อนด้วยการรณรงค์ร่วมมือลดมลพิษ
+,อยู่อย่างพอเพียงปลูกผักปลอดสารพิษ
+,แฮปปี้ความสุขรักเสมอ
+,ชมว่าสวยขึ้นน่ารักขึ้น
+,ชอบความรู้สึกแบบนี้น่ะ
+,ตั้งเเต่เราคุยเหมือนเราเจอมากขึ้น
+,ให้นึกถึง
+,เชื่อมั่นในตนเอง
+,แรงบันดาลใจให้ใฝ่เรียน
+,ห่วงเสมอ
+,ได้ฟังเพลงที่ชอบ
+,ถึงแพ้ก็จะไม่ยอมถอย
+,ลาก่อนเดี๋ยวได้เจออีก
+,สู้ไม่ถอย
+,จุดหมายไม่ไกลเกินจริง
+,ขอข้ารองพระบาททุกชาติไป
+,ไม่ไหนไม่คิดถึง
+,เรารักในหลวง
+,อยากรู้จักจัง
+,ยกความดีความชอบให้
+,ช่วงที่ดีที่สุด
+,ไทยไม่ทิ้งเร่งช่วยเหลือ
+,เหลือเชื่อมาก
+,น่าตื่นเต้นและยิ่งใหญ่มาก
+,เจ๋งไป
+,ทำทุกอย่างเพื่อปกป้องโลก
+,อดใจรอไม่ไหว
+,พอใจการทำงาน
+,ภาคภูมิใจ
+,ศรัทธา
+,พยายามสุดความสามารถ
+,จะสู้จนกว่าจะชนะ
+,สนุกมาก
+,สนุกสนาน
+,ฉันเคยเกือบพลาดสิ่งที่ดีที่สุดในชีวิต
+,ขอบคุณที่รัก
+,อย่ายอมแพ้
+,ถึงเส้นชัย
+,ชัยชนะสิ่งที่คุ้มค่า
+,อย่าอ่อนแอแม้จะร้องไห้
+,อย่าอ่อนแอร้องไห้ไปสู้
+,ศรัทธาไม่ท้อ
+,อร่อยที่สุดในโลก
+,จุดมุ่งหมายอันทะเยอทะยาน
+,เซอร์ไพรส์
+,จะไม่ลืมดีนี้
+,สู้สู้
+,มาเชียร์เพื่อน
+,พยายามแบ๊ว
+,ดีที่สุด
+,ขอกำลังใจหน่อย
+,ทุกพูดความจริง
+,เธอน่ารักจังทำให้ใจเซ
+,กล้องของที่สวยงาม
+,ข่าวดีมาบอก
+,น่ารักแถมความรู้ด้วยสนใจป่าว
+,เธอเรียบร้อย
+,ชอบจิตใจดีและขยันมากกว่า
+,ปรบมือตามระเบียบ
+,น้ำใจนักกีฬา
+,ปลอดภัยไว้ก่อนป้องกันไว้
+,เข้าใจง่ายสะดวกรวดเร็ว
+,อย่าได้ไปหวังอะไรลม แล้ง
+,ความหวังในอนาคต
+,ขอให้ความสุข
+,ความรู้สึกที่ยังเหมือนเดิม
+,ให้โอกาส
+,ความสุข
+,ประโยชน์
+,รัก
+,ดีที่สุด
+,ดีใจความสุข
+,ยังไม่ลืม
+,ชอบที่เธอแกล้งเราแอบไปยิ้ม
+,กินของอร่อยความสุข
+,สาธุ
+,เอาเงินมาบริจาค
+,สวยรวยเก่งค่าการศึกษา
+,น่าอยู่น่าเที่ยว
+,ข้อดี
+,สะดวกง่ายเข้าใจเร็วนึกออกง่าย
+,ไม่เสียใจ
+,การค้นพบที่น่าตื่นเต้นที่สุด
+,สบายใจ
+,ชัดเจน
+,ยังรอดชีวิต
+,ถ่ายทำได้ดีมากมุมสวย
+,มองเย็นใจ
+,จังหวะดีฝีมือเทพน่านับถือ
+,นี้ฟ้าโปร่งสดใส
+,เห็นชัดเจน
+,ทัศนียภาพตื่นตาตื่นใจ
+,เพลิดเพลินทิวทัศน์
+,น่าสนดีเหมือนแปลกใหม่น่าท้าลอง
+,กำลังกลับมา
+,สุขสันต์เกิด
+,สวัสดีปีใหม่
+,รัก
+,วิเศษรอยยิ้มสายตาอบอุ่น
+,ขอบคุณทุกครั้งที่คอยปลอบฉัน
+,ชัดเจนแค่เห็นก็ชื่นใจ
